TOT_POP,19-Oct,40-49,50-59,60-69,70-79,80+,High school diploma only 2014-18,Some college or associate's degree 2014-18,Employed_2018,anycondition_number,Obesity_number,Heart disease_number,diabetes_number,CKD_number,COPD_number
0.0026260139350824264,0.0027946824367564896,0.0020939623960796166,0.0029226892416398605,0.0037858435086093436,0.004286283195114964,0.0033906392533857273,0.0045048702158257126,0.0031846386833923016,0.002388639096565065,0.0035352894665959976,0.003768087894403925,0.004749495725453847,0.002952776576039247,0.003230107291714859,0.0053148354635679206
0.005064405967880635,0.0046411258139724436,0.004352360466701035,0.0060268501495801255,0.00813463405977492,0.008375194751661066,0.008218370640656796,0.013047250659563546,0.005040808941781923,0.004353507149579129,0.006687230104873534,0.006524678949854639,0.00871469215677706,0.005675589400246135,0.006102715729528985,0.009422486799303334
0.003729776961494959,0.004130287239768904,0.003293898399492768,0.0038997265673753755,0.004267947017908815,0.004728186067308969,0.004381446916005894,0.0076563732158956045,0.00404236356813552,0.0033176677602342235,0.004949822314516339,0.004868245624990168,0.005094495414954126,0.00387158152057493,0.0036506941786568978,0.006416045412239557
0.009093724858813528,0.010205473316552863,0.00847362214755954,0.009770373257355153,0.010619093862299802,0.01175496573069426,0.00976212195635394,0.014097751659586844,0.011861285336478324,0.00884486753019292,0.011474746070500733,0.012255223246695117,0.012597088662620205,0.008297596196252534,0.008895412658824124,0.013152317148465218
0.013299681458384255,0.01425667338369626,0.011733448290165266,0.01375815569656406,0.016650810160651876,0.017585289000985112,0.016950389446354644,0.023361645558985844,0.017032763303670345,0.012298346251372405,0.017277806257656986,0.018522022936477332,0.01996168203448617,0.013625614811765743,0.014665864747668898,0.023026346102453993
0.08740023927729944,0.04895334583125864,0.08948930131133746,0.08222197889875028,0.09235289188163325,0.09535670120379233,0.11033330994316189,0.059736654648502224,0.07342314874379043,0.11478007201861243,0.0634360636366006,0.06121891565822847,0.08066092740516534,0.07061357269164696,0.07515467082767295,0.06653105043449414
0.0020000138539379327,0.0020433542968141586,0.0017502770222625164,0.002247338989838352,0.0026067109991570582,0.0031789060371268277,0.002245456459195846,0.004177294635173287,0.002289500017869268,0.0017927046844774402,0.0025110564683598195,0.0024596247356260914,0.0032797970481826567,0.002548502400443546,0.0025445506659993356,0.00382889316881226
0.00026846952578960025,0.0003244188101576982,0.0002096184499789641,0.00024272792496720874,0.00035196513869102496,0.00039474327713772696,0.0005164549856150446,0.00041794125807378496,0.00031717951467066937,0.0003087912375176452,0.00028116881424264275,0.0002931529481414818,0.00036339967294029434,0.00021526287271978863,0.00025655800103464377,0.0002787581669231549
0.06215539566351951,0.0624651471707371,0.057828026949673796,0.07645317073880407,0.08373122482882368,0.08570470408227428,0.08555750473650972,0.0905280532479754,0.06114249401379507,0.06704486785695613,0.06825312144303204,0.07100927078323317,0.07256493469155878,0.05605025180505794,0.05732178682133049,0.0736681810223283
0.0004208628430457685,0.0004382074973025625,0.00033553766021367747,0.00039739997810088755,0.0004998496507460774,0.0005973548707128435,0.00072977334923865,0.0009862566512315498,0.0004785613451985275,0.0003132842317143305,0.0005626851795535706,0.0005729590953919693,0.0005818994762904713,0.0005050802037961869,0.0005299394775469691,0.00044693458167844674
